R,Team,Own Third,Middle Third,Opposition Third
1,Paderborn,31%,41%,27%
2,Freiburg,31%,43%,26%
3,Hoffenheim,31%,44%,25%
4,Augsburg,30%,45%,26%
5,Hertha Berlin,29%,47%,25%
6,FC Koln,29%,44%,27%
7,Werder Bremen,28%,46%,25%
8,Schalke 04,28%,45%,28%
9,Borussia M.Gladbach,28%,44%,28%
10,Mainz 05,28%,43%,28%
11,Fortuna Duesseldorf,28%,45%,27%
12,Union Berlin,27%,45%,28%
13,Wolfsburg,26%,44%,29%
14,Eintracht Frankfurt,26%,44%,30%
15,Bayer Leverkusen,25%,48%,27%
16,Borussia Dortmund,25%,46%,28%
17,RB Leipzig,25%,45%,29%
18,Bayern Munich,23%,43%,34%
