Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Manchester United,14.7,5,1.3,8.4,7.03
2. Arsenal,15.7,6.4,1.1,8.3,7.03
3. Liverpool,19.4,8.4,0.9,10.2,6.99
4. Tottenham,17.9,9.7,0.9,7.3,6.98
5. Chelsea,16.5,7.7,0.8,8,6.96
6. Manchester City,17.3,6.4,1.2,9.7,6.96
7. Everton,16.7,6.5,1.3,8.8,6.93
8. Swansea,13.3,5.2,0.6,7.5,6.83
9. Fulham,12.1,5.7,0.9,5.5,6.82
10. Aston Villa,11.5,5,0.6,6,6.80
11. Southampton,13.6,6.4,0.8,6.4,6.79
12. West Ham,13,4.2,1.4,7.4,6.79
13. Sunderland,11,5.2,0.8,4.9,6.74
14. Queens Park Rangers,13.2,7.3,0.5,5.3,6.74
15. Newcastle United,14,7,0.6,6.5,6.72
16. Stoke,10.3,4.2,1.1,5,6.72
17. West Bromwich Albion,13.3,6.3,1.1,5.9,6.71
18. Wigan,13.2,6,1,6.2,6.68
19. Norwich,10.9,5.1,1.1,4.6,6.66
20. Reading,10.3,4,1,5.3,6.64
