R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,West Bromwich Albion,50,3,13,7,3
2,Southampton,48,5,6,8,1
3,Crystal Palace,45,5,13,3,0
4,Newcastle United,41,6,8,4,3
5,Sheffield United,41,5,11,3,3
6,Burnley,41,1,9,3,1
7,Fulham,37,1,7,7,1
8,Everton,33,4,7,3,1
9,West Ham,31,2,7,3,4
10,Aston Villa,31,2,7,5,1
11,Leeds,27,2,15,8,2
12,Liverpool,27,1,10,4,0
13,Leicester,26,6,12,4,2
14,Wolverhampton Wanderers,26,3,13,7,3
15,Brighton,26,2,10,6,2
16,Arsenal,25,3,5,2,4
17,Tottenham,25,0,7,10,3
18,Chelsea,23,2,7,3,1
19,Manchester United,23,1,14,4,2
20,Manchester City,16,1,6,8,1
