R,Team,Left Side,Attempts from the middle,Right Side
1,Espanyol,25%,58%,17%
2,Real Madrid,23%,61%,15%
3,Valencia,22%,64%,14%
4,Atletico Madrid,21%,66%,13%
5,Rayo Vallecano,21%,63%,16%
6,Sevilla,21%,66%,13%
7,Villarreal,19%,70%,11%
8,Osasuna,19%,66%,15%
9,Mallorca,18%,64%,18%
10,Real Betis,18%,64%,18%
11,Barcelona,18%,66%,16%
12,Granada,18%,67%,15%
13,Cadiz,18%,66%,16%
14,Elche,18%,69%,13%
15,Levante,18%,65%,18%
16,Athletic Bilbao,16%,67%,17%
17,Deportivo Alaves,16%,68%,16%
18,Real Sociedad,16%,63%,22%
19,Getafe,15%,66%,18%
20,Celta Vigo,12%,69%,19%
