Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,86,15,737,60.1,89.5,9.5,6.88
2. Lille,64,12.8,672,52.6,83.5,15.8,6.82
3. Lyon,81,16.1,6010,53.6,84.7,14.3,6.80
4. Monaco,76,12.8,747,54.2,82.7,16.5,6.73
5. Rennes,52,13.5,805,56.8,85.6,16.9,6.69
6. Metz,44,11.5,824,46.9,79.8,16.1,6.66
7. Lens,55,11.7,847,51.1,81.8,17.4,6.64
8. Brest,50,11.8,604,49.4,81.3,18.6,6.64
9. Marseille,54,10,949,52.4,82.0,14.9,6.63
10. Montpellier,60,12.2,657,46.4,78.8,17.9,6.63
11. Nice,50,10.8,694,53.4,85.6,10.5,6.63
12. Nantes,47,10.8,684,45.2,77.0,18.1,6.62
13. Strasbourg,49,11.3,563,46.5,78.3,18.3,6.61
14. Reims,42,9.6,758,46.3,80.7,13.4,6.60
15. Saint-Etienne,42,11.6,762,49.0,79.3,16.4,6.59
16. Bordeaux,42,11.1,744,50.2,83.3,15.4,6.59
17. Lorient,50,11.2,673,45.9,78.8,13.7,6.54
18. Angers,40,10.7,632,47.1,81.3,13.2,6.53
19. Nimes,40,10.3,575,45.8,77.5,14,6.52
20. Dijon,25,9.2,755,46.9,80.0,14.3,6.42
