Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,17.7,7,8.1,12.1,7.13
2. Schalke 04,11.9,4.9,9.3,14.8,6.88
3. Borussia Dortmund,14.3,5.2,8.9,12.4,6.87
4. Bayer Leverkusen,15,5.1,9.1,14.3,6.84
5. RB Leipzig,14.4,5.4,10.7,14.3,6.84
6. Hoffenheim,14,5.3,6.9,12.9,6.82
7. Borussia M.Gladbach,13.4,4.7,9.2,12.1,6.77
8. VfB Stuttgart,10.7,3.6,7,12.6,6.75
9. Eintracht Frankfurt,11.5,4.4,7.2,13.3,6.75
10. Augsburg,12.8,4.3,5.4,12.1,6.75
11. Hertha Berlin,9.4,3.9,7.1,13.7,6.74
12. Hannover 96,12.8,4.3,6.8,14.8,6.73
13. Werder Bremen,12.9,4.5,6,13,6.71
14. Mainz 05,12.2,4.4,8,12.8,6.68
15. Wolfsburg,10.4,3.5,6.5,14.7,6.67
16. Freiburg,11.3,3.5,6.4,12.6,6.63
17. Hamburger SV,11.6,4.1,7.8,13.7,6.60
18. FC Koln,11.4,3.4,6.8,14.1,6.60
