Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,8.8,16.2,10.1,8.8,2.3,7.02
2. Borussia Dortmund,11.1,16.1,10.1,10.6,2.1,6.79
3. RB Leipzig,10.5,15,10.6,10.4,2,6.79
4. Bayer Leverkusen,13.8,14.4,10.6,11,1.8,6.76
5. Freiburg,14.4,15.5,10.2,11.7,1.8,6.71
6. Borussia M.Gladbach,13.9,17.2,10,10.7,2.3,6.65
7. Mainz 05,11.3,17.2,13.3,15,1.9,6.65
8. FC Koln,12.5,17.2,13.3,12.5,1.9,6.65
9. Eintracht Frankfurt,12.9,17.8,10.9,12.9,1.5,6.62
10. Hoffenheim,12.1,14.1,8.3,12.7,2,6.62
11. VfB Stuttgart,14.8,16.3,9.9,11.1,1.6,6.60
12. Union Berlin,12,15.1,11.6,12.4,2,6.60
13. Wolfsburg,12.5,15.4,11.7,12.4,2.3,6.59
14. Bochum,14,16.9,13.1,12.7,2.2,6.59
15. Augsburg,14.4,16.5,10.7,12.7,2.3,6.52
16. Arminia Bielefeld,15.4,16,12.8,12.7,1.5,6.50
17. Hertha Berlin,14.2,15.5,12,12.1,2.2,6.47
18. Greuther Fuerth,15.9,16.9,11.4,12.8,2.1,6.40
