R,Team,Left Side,Middle of the pitch,Right Side
1,Real Betis,41%,27%,31%
2,Espanyol,40%,24%,35%
3,Real Madrid,39%,28%,33%
4,Valencia,39%,26%,35%
5,Racing Santander,38%,29%,34%
6,Real Zaragoza,38%,26%,37%
7,Rayo Vallecano,37%,27%,35%
8,Malaga,37%,27%,36%
9,Getafe,37%,23%,40%
10,Villarreal,37%,25%,38%
11,Granada,37%,25%,38%
12,Atletico Madrid,35%,27%,38%
13,Sevilla,34%,26%,40%
14,Sporting Gijon,34%,26%,40%
15,Athletic Bilbao,33%,25%,42%
16,Osasuna,33%,28%,39%
17,Levante,32%,26%,42%
18,Barcelona,31%,34%,35%
19,Real Sociedad,31%,24%,45%
20,Mallorca,30%,27%,43%
