R,Team,Left Side,Middle of the pitch,Right Side
1,Sunderland,40%,26%,34%
2,Crystal Palace,39%,26%,35%
3,Chelsea,38%,31%,32%
4,Everton,37%,28%,35%
5,Aston Villa,37%,26%,37%
6,Newcastle United,36%,23%,40%
7,West Ham,36%,27%,37%
8,Stoke,36%,26%,38%
9,West Bromwich Albion,36%,27%,37%
10,Tottenham,35%,30%,35%
11,Manchester United,35%,27%,38%
12,Arsenal,34%,32%,34%
13,Leicester,34%,25%,41%
14,Southampton,34%,31%,35%
15,Liverpool,34%,30%,36%
16,Manchester City,34%,29%,37%
17,Hull,34%,26%,40%
18,Queens Park Rangers,33%,29%,38%
19,Swansea,30%,30%,40%
20,Burnley,30%,29%,41%
